,0
451,HOLD
452,HOLD
453,HOLD
454,HOLD
455,HOLD
456,HOLD
457,HOLD
458,HOLD
459,HOLD
460,HOLD
461,HOLD
462,HOLD
463,HOLD
464,HOLD
465,HOLD
466,HOLD
467,HOLD
468,HOLD
469,HOLD
470,HOLD
471,ORDER_SELL
472,HOLD
473,HOLD
474,HOLD
475,HOLD
476,HOLD
477,HOLD
478,HOLD
479,HOLD
480,HOLD
481,HOLD
482,HOLD
483,HOLD
484,HOLD
485,HOLD
486,HOLD
487,HOLD
488,HOLD
489,HOLD
490,HOLD
491,HOLD
492,HOLD
493,HOLD
494,HOLD
495,HOLD
496,HOLD
497,ORDER_BUY
498,HOLD
499,HOLD
500,HOLD
501,HOLD
502,HOLD
503,HOLD
504,HOLD
505,HOLD
506,HOLD
507,HOLD
508,HOLD
509,HOLD
510,HOLD
511,HOLD
512,HOLD
513,HOLD
514,HOLD
515,HOLD
516,HOLD
517,HOLD
518,HOLD
519,HOLD
520,HOLD
521,HOLD
522,HOLD
523,HOLD
524,HOLD
525,HOLD
526,HOLD
527,HOLD
528,HOLD
529,HOLD
530,HOLD
531,HOLD
532,HOLD
533,HOLD
534,HOLD
535,HOLD
536,HOLD
537,HOLD
538,HOLD
539,HOLD
540,HOLD
541,HOLD
542,HOLD
543,HOLD
544,HOLD
545,HOLD
546,HOLD
547,HOLD
548,HOLD
549,HOLD
550,HOLD
551,HOLD
552,HOLD
553,HOLD
554,HOLD
555,HOLD
556,HOLD
557,HOLD
558,HOLD
559,HOLD
560,HOLD
561,HOLD
562,HOLD
563,HOLD
564,HOLD
565,HOLD
566,HOLD
567,HOLD
568,HOLD
569,HOLD
570,HOLD
571,HOLD
572,HOLD
573,HOLD
574,HOLD
575,HOLD
576,HOLD
577,HOLD
578,HOLD
579,HOLD
580,HOLD
581,HOLD
582,HOLD
583,HOLD
584,HOLD
585,HOLD
586,HOLD
587,HOLD
588,HOLD
589,HOLD
590,HOLD
591,HOLD
592,HOLD
593,HOLD
594,HOLD
595,HOLD
596,HOLD
597,HOLD
598,HOLD
599,HOLD
600,HOLD
601,HOLD
602,ORDER_SELL
603,HOLD
604,HOLD
605,HOLD
606,HOLD
607,HOLD
608,HOLD
609,HOLD
610,HOLD
611,HOLD
612,ORDER_BUY
613,ORDER_SELL
614,HOLD
615,HOLD
616,HOLD
617,HOLD
618,HOLD
619,HOLD
620,ORDER_BUY
621,HOLD
622,HOLD
623,HOLD
624,HOLD
625,HOLD
626,HOLD
627,HOLD
628,HOLD
629,HOLD
630,HOLD
631,HOLD
632,HOLD
633,HOLD
634,HOLD
635,HOLD
636,HOLD
637,HOLD
638,HOLD
639,HOLD
640,HOLD
641,HOLD
642,HOLD
643,HOLD
644,HOLD
645,HOLD
646,HOLD
647,HOLD
648,HOLD
649,HOLD
650,HOLD
651,HOLD
652,HOLD
653,HOLD
